time,open,high,low,close,tick_volume,spread,real_volume
2025-04-16 05:00:00,3270.12,3275.38,3266.92,3267.7,9085,20,0
2025-04-16 06:00:00,3267.69,3281.71,3266.15,3281.45,7865,20,0
2025-04-16 07:00:00,3281.45,3287.67,3269.22,3283.67,9096,20,0
2025-04-16 08:00:00,3283.66,3291.82,3283.62,3290.0,9659,20,0
2025-04-16 09:00:00,3289.91,3295.01,3285.93,3291.74,11222,20,0
2025-04-16 10:00:00,3291.79,3300.76,3291.35,3300.42,11262,20,0
2025-04-16 11:00:00,3300.3,3317.91,3288.65,3306.95,19744,20,0
2025-04-16 12:00:00,3306.99,3310.95,3299.93,3303.61,9509,20,0
2025-04-16 13:00:00,3303.63,3306.87,3299.64,3304.14,6829,20,0
2025-04-16 14:00:00,3304.16,3313.63,3293.14,3306.71,11104,20,0
2025-04-16 15:00:00,3306.62,3313.41,3302.4,3307.28,11144,20,0
2025-04-16 16:00:00,3307.25,3316.54,3296.77,3311.54,16190,20,0
2025-04-16 17:00:00,3311.68,3319.46,3306.12,3308.5,15866,20,0
2025-04-16 18:00:00,3308.57,3328.14,3305.32,3325.26,14397,20,0
2025-04-16 19:00:00,3325.28,3332.98,3321.35,3327.35,12286,20,0
2025-04-16 20:00:00,3327.35,3332.75,3324.37,3328.17,11428,20,0
2025-04-16 21:00:00,3328.17,3340.68,3326.33,3338.23,9844,20,0
2025-04-16 22:00:00,3338.28,3342.43,3335.93,3336.66,8451,20,0
2025-04-16 23:00:00,3336.49,3342.26,3334.32,3341.54,4807,20,0
2025-04-17 01:00:00,3348.98,3357.74,3348.98,3351.09,5056,35,0
2025-04-17 02:00:00,3351.16,3353.48,3346.83,3349.96,5722,21,0
2025-04-17 03:00:00,3350.1,3351.2,3341.87,3345.32,9028,20,0
2025-04-17 04:00:00,3345.32,3356.21,3320.77,3323.93,20493,20,0
2025-04-17 05:00:00,3323.85,3340.56,3321.08,3340.36,13485,20,0
2025-04-17 06:00:00,3340.34,3344.5,3337.33,3344.44,7775,20,0
2025-04-17 07:00:00,3344.24,3344.26,3337.87,3341.56,5616,20,0
2025-04-17 08:00:00,3341.62,3345.46,3328.38,3329.28,8029,20,0
2025-04-17 09:00:00,3329.33,3333.04,3325.19,3328.99,13272,20,0
2025-04-17 10:00:00,3328.93,3330.16,3314.32,3323.4,12846,20,0
2025-04-17 11:00:00,3323.43,3325.01,3312.6,3324.24,7860,20,0
2025-04-17 12:00:00,3324.16,3326.91,3320.57,3321.57,6460,20,0
2025-04-17 13:00:00,3321.57,3334.02,3321.1,3327.63,6934,20,0
2025-04-17 14:00:00,3327.64,3332.48,3322.44,3327.44,7729,20,0
2025-04-17 15:00:00,3327.41,3342.34,3322.46,3328.12,12941,20,0
2025-04-17 16:00:00,3328.12,3332.09,3312.01,3315.15,18007,20,0
2025-04-17 17:00:00,3315.04,3315.04,3283.93,3291.32,26271,20,0
2025-04-17 18:00:00,3291.38,3304.88,3290.56,3296.35,17511,20,0
2025-04-17 19:00:00,3296.39,3318.78,3294.88,3316.21,14990,20,0
2025-04-17 20:00:00,3316.2,3322.62,3314.26,3318.9,11153,20,0
2025-04-17 21:00:00,3318.94,3320.85,3314.29,3316.23,6756,20,0
2025-04-17 22:00:00,3316.21,3321.85,3310.95,3320.7,8462,20,0
2025-04-17 23:00:00,3320.73,3328.86,3318.17,3327.82,4427,20,0
